slug,subdomain,custom_domain,name,site,logo,place_id,primary_color,secondary_color
bearden-mechanical-heating-cooling,,,Bearden Mechanical Heating & Cooling,,https://lh6.googleusercontent.com/-i37yebl4pPU/AAAAAAAAAAI/AAAAAAAAAAA/Ay9C7S93qX0/s44-p-k-no-ns-nd/photo.jpg,ChIJwbbxXvEOEQMRjjVdfDjoq3c,#ede6ea,#ba3035
birmingham-heating-and-air-services,,,Birmingham Heating and Air Services,,https://lh3.googleusercontent.com/-kSs9dA_3zNY/AAAAAAAAAAI/AAAAAAAAAAA/cfS7IatvPHw/s44-p-k-no-ns-nd/photo.jpg,ChIJ3w34-WwNiYgROu_4wNJVq9k,Error,Error
blankenship-heating-cooling-llc,,,"Blankenship Heating & Cooling, LLC",http://bhacllc.com/,https://lh6.googleusercontent.com/-U7V5g6b6O3k/AAAAAAAAAAI/AAAAAAAAAAA/6ECQpqFhVOg/s44-p-k-no-ns-nd/photo.jpg,ChIJyddDPhLjiIgR_PeiDs42lHo,#0f1521,#7199bc
blue-mechanical-air-conditioning-heating,,,Blue Mechanical Air Conditioning & Heating,,https://lh6.googleusercontent.com/-vvNDyeodYMo/AAAAAAAAAAI/AAAAAAAAAAA/qsnTJY3cSUU/s44-p-k-no-ns-nd/photo.jpg,ChIJw7WPlC2liogRbMTSJ5Fx-wg,#d3d3d2,#1d313e
blue-springs-heating-cooling,,,Blue Springs Heating & Cooling,https://www.facebook.com/Blue-Springs-Heating-Cooling-223988554315123/,https://lh5.googleusercontent.com/-yCc5x1Gw_TU/AAAAAAAAAAI/AAAAAAAAAAA/7GdAf-4zfVo/s44-p-k-no-ns-nd/photo.jpg,ChIJ0S9Sjd_qiYgRrKwF-T7851A,Error,Error
blue-tick-system-services-llc,,,Blue Tick System Services LLC,http://www.blueticksystemservices.com/,https://lh6.googleusercontent.com/-TxYUYXmAiGQ/AAAAAAAAAAI/AAAAAAAAAAA/Ne8cgtVgjzI/s44-p-k-no-ns-nd/photo.jpg,ChIJBWdn2iStiYgRokTW-bfpYwk,#273d6f,#676a90
bo-jiffy-heating-and-air-conditioning,,,Bo Jiffy Heating and Air Conditioning,http://bojiffy.contractorplus.com/,https://lh5.googleusercontent.com/-T_F1g6LcFs0/AAAAAAAAAAI/AAAAAAAAAAA/T21Sx-XsC3I/s44-p-k-no-ns-nd/photo.jpg,ChIJwYk-wG4iiYgRK5o64uHIdoM,#2e2927,#d7dadc
brannon-heating-air,,,Brannon Heating & Air,https://brannonhvac.com/,https://lh3.googleusercontent.com/-mslY8TApU9w/AAAAAAAAAAI/AAAAAAAAAAA/npksPykCTJo/s44-p-k-no-ns-nd/photo.jpg,ChIJhdZaMPFKiogRv0Mi3K5bA4c,#cec2bb,#332d30
bright-electric-llc,,,Bright Electric LLC,https://brightelectric-hvacr.com/,https://lh4.googleusercontent.com/-9aS7rjtGHu8/AAAAAAAAAAI/AAAAAAAAAAA/J-NjfQzsyd0/s44-p-k-no-ns-nd/photo.jpg,ChIJr6gUyjUuYC4RCK4wXFnXVhI,#20282e,#c0bfc1
brothers-heating-and-cooling-llc,,,Brothers Heating and Cooling LLC,,https://lh5.googleusercontent.com/-lM8Tq4gKFGE/AAAAAAAAAAI/AAAAAAAAAAA/McFgzCa9Iso/s44-p-k-no-ns-nd/photo.jpg,ChIJT3fI2otpYogR_2rFaB0dXCo,#eae1df,#462828
calderas-heating-and-air-llc,,,Calderas Heating And Air LLC,https://calderasheatingdandair.com/,https://lh6.googleusercontent.com/-0uoRDKXxa74/AAAAAAAAAAI/AAAAAAAAAAA/hiMnHZyPJcs/s44-p-k-no-ns-nd/photo.jpg,ChIJTTaaAKwOXCsROTaJJlhssd8,#222222,#eb842f
